company,tier,year,doc_type,filename,tokens,agentic_share_of_automation,raw_agentic,raw_prior_gen_automation,dim_role_evolution_per10k,dim_tech_stack_per10k,dim_governance_per10k,stage_assisted,stage_augmented,stage_frontier,automation_depth_distribution_per10k,automation_depth_underwriting_per10k,automation_depth_pricing_actuarial_per10k,automation_depth_claims_per10k,automation_depth_servicing_per10k,automation_depth_billing_per10k
Marshmallow,C,2024,SFCR,marshmallow 2024 SFCR.pdf,22508,1.0,1,0,4.44,2.22,1.78,36,3,4,0.0,0.0,0.44,0.0,0.0,0.0
Marshmallow,C,2025,SFCR,marshmallow 2025 SFCR.pdf,26048,1.0,1,0,4.61,1.15,2.69,47,4,10,0.0,0.0,1.15,0.0,0.0,0.0
Neodigital,C,2023,Annual Report,neodigital 2023 annual report.pdf,12381,0.0,0,3,0.0,2.42,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
NN Group,A,2023,Annual Report,nn group annual report 2023.pdf,202982,0.71,10,4,2.07,2.66,2.71,389,22,16,0.0,0.0,0.05,0.05,0.0,0.0
NN Group,A,2024,Annual Report,nn group annual report 2024.pdf,225964,0.82,37,8,3.01,2.97,3.72,543,37,17,0.04,0.18,0.0,0.13,0.09,0.0
NN Group,A,2025,Annual Report,nn group annual report 2025.pdf,186989,0.7,14,6,2.57,3.37,4.55,441,46,14,0.0,0.16,0.0,0.05,0.11,0.0
Sampo,B,2023,Annual Report,sampo 2023 annual report.pdf,80565,0.0,0,0,0.12,0.25,0.12,79,2,1,0.0,0.0,0.0,0.0,0.0,0.0
Sampo,B,2024,Annual Report,sampo 2024 annual report.pdf,129661,0.5,1,1,0.69,2.16,2.78,227,3,0,0.0,0.0,0.0,0.0,0.0,0.0
Sampo,B,2025,Annual Report,sampo 2025 annual report.pdf,124074,0.0,0,1,0.4,2.42,1.85,227,4,2,0.0,0.0,0.0,0.0,0.0,0.0
Swiss Re,A,2024,Annual Report,swiss re 2024 annual report.pdf,141062,0.75,12,4,1.42,5.25,2.34,158,12,14,0.21,0.07,0.14,0.21,0.0,0.0
Swiss Re,A,2025,Annual Report,swiss re 2025 annual report.pdf,154031,0.3,3,7,1.17,5.13,3.05,214,25,22,0.0,0.0,0.19,0.0,0.0,0.0
Swiss Re,A,2023,Annual Report,swiss re annual report 2023.pdf,65054,0.0,0,4,1.84,0.46,0.77,65,6,3,0.0,0.0,0.0,0.0,0.0,0.0
Talanx,A,2023,Annual Report,talanx 2023 annual report.pdf,192160,0.0,0,0,0.78,0.78,1.25,140,49,19,0.0,0.0,0.0,0.0,0.0,0.0
Talanx,A,2024,Annual Report,talanx 2024 annual report.pdf,246947,0.8,4,1,0.89,1.94,1.34,356,58,21,0.0,0.08,0.08,0.08,0.08,0.0
Talanx,A,2025,Annual Report,talanx 2025 annual report.pdf,249588,0.83,5,1,1.2,1.64,1.56,351,55,19,0.0,0.0,0.0,0.0,0.0,0.0
Tryg,B,2023,Annual Report,tryg 2023 annual report.pdf,86488,0.0,0,1,0.46,4.16,2.2,149,7,1,0.0,0.0,0.0,0.0,0.0,0.0
Tryg,B,2024,Annual Report,tryg 2024 annual report.pdf,97801,0.6,3,2,0.61,2.86,2.35,191,17,6,0.0,0.0,0.0,0.1,0.0,0.0
Tryg,B,2025,Annual Report,tryg 2025 annual report.pdf,95177,0.15,2,11,0.84,1.47,1.89,175,22,12,0.0,0.0,0.0,0.11,0.0,0.0
Unipol,A,2023,Annual Report,unipol annual report 2023.pdf,45203,0.0,0,4,2.65,5.97,5.31,64,8,0,0.0,0.0,0.0,0.0,0.0,0.0
Unipol,A,2024,Annual Report,unipol annual report 2024_def.pdf,111036,0.73,11,4,0.9,3.24,2.43,53,13,1,0.0,0.0,0.0,0.63,0.36,0.0
Unipol,A,2025,Annual Report,unipol annual report 2025.pdf,108860,0.76,13,4,1.38,4.32,1.93,50,14,0,0.55,0.0,0.09,0.18,0.55,0.37
VIG,B,2023,Annual Report,vig annual report 2023.pdf,104008,0.0,0,3,0.96,0.38,0.67,104,20,4,0.0,0.0,0.0,0.0,0.0,0.0
VIG,B,2024,Annual Report,vig group annual report 2024.pdf,153639,0.0,0,4,0.78,1.89,1.3,221,30,8,0.0,0.0,0.0,0.0,0.0,0.0
VIG,B,2025,Annual Report,vig group annual report 2025.pdf,160537,0.67,8,4,1.49,1.99,3.61,245,45,10,0.0,0.0,0.0,0.0,0.0,0.0
Wakam,C,2023,SFCR,wakam 2023 SFCR.pdf,26295,0.0,0,2,1.9,7.61,0.76,68,3,1,0.0,0.0,0.0,0.0,0.0,0.0
Wakam,C,2024,SFCR,wakam 2024 SFCR.pdf,12767,0.0,0,0,0.0,0.78,0.0,29,2,1,0.0,0.0,0.0,0.0,0.0,0.0
Wakam,C,2025,SFCR,wakam 2025 SFCR.pdf,16732,0.0,0,0,0.0,1.2,0.0,37,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Zego,C,2022,Financial Statement,zego financial statements 2022.pdf,9500,0.0,0,0,0.0,0.0,0.0,10,1,2,0.0,0.0,0.0,0.0,0.0,0.0
Zego,C,2023,Financial Statement,zego financial statements 2023.pdf,10047,0.0,0,0,0.0,0.0,0.0,9,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Zego,C,2024,Financial Statement,zego financial statements 2024.pdf,12438,1.0,1,0,2.41,2.41,0.0,21,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Zurich,A,2023,Annual Report,zurich insurance group 2023 annual report.pdf,208966,0.85,28,5,1.48,2.49,2.44,317,46,34,0.1,0.05,0.0,0.24,0.19,0.0
